method,dataset,point_group,molecule,sigma,n_total,n_crashed,n_valid,crash_rate,mean_emd,median_emd,mean_theta_deg,median_theta_deg,flip_rate
asun,qm9,C1,qm9_106305,0.1,15.0,0.0,15.0,0.0,0.8461602544040419,0.6979043946611664,15.301350318215572,13.670069313968119,1.0
asun,qm9,C1,qm9_112484,0.0,15.0,0.0,15.0,0.0,1.0132198096702072e-15,9.386899911535604e-16,8.284924828142035e-07,1.2074182697257333e-06,0.0
asun,qm9,C1,qm9_112484,0.0001,15.0,0.0,15.0,0.0,0.0006676136419799921,0.000661278582112121,0.018988449978406336,0.018366041840145318,0.0
asun,qm9,C1,qm9_112484,0.001,15.0,0.0,15.0,0.0,0.006671241159482738,0.006601243552305957,0.18974104589462673,0.18332992195845568,0.0
asun,qm9,C1,qm9_112484,0.003,15.0,0.0,15.0,0.0,0.01998133615400539,0.019726962804208766,0.5682771461442783,0.5477922218616741,0.0
asun,qm9,C1,qm9_112484,0.01,15.0,0.0,15.0,0.0,0.06623620629190072,0.0648676483959364,1.8836147358510127,1.800552894125949,0.0
asun,qm9,C1,qm9_112484,0.03,15.0,0.0,15.0,0.0,0.19582586973897687,0.193202132445834,5.570622076451261,5.179907463861797,0.6
asun,qm9,C1,qm9_112484,0.1,15.0,0.0,15.0,0.0,0.6244334880789711,0.5907368615731384,15.938359235420046,15.09761851254947,1.0
asun,qm9,C1,qm9_127560,0.0,15.0,0.0,15.0,0.0,6.772170088834919e-16,6.039268974833274e-16,1.9433103748192807e-07,0.0,0.0
asun,qm9,C1,qm9_127560,0.0001,15.0,0.0,15.0,0.0,0.0004888119756532222,0.00037134854803314216,0.01787109320176665,0.010978666204624775,0.0
asun,qm9,C1,qm9_127560,0.001,15.0,0.0,15.0,0.0,0.004884985208405122,0.003714425465737656,0.1785270104987348,0.10963049385586884,0.0
asun,qm9,C1,qm9_127560,0.003,15.0,0.0,15.0,0.0,0.11119483178377053,0.01114952989210761,6.493078711782492,0.32785474949181925,0.06666666666666667
asun,qm9,C1,qm9_127560,0.01,15.0,0.0,15.0,0.0,0.46977718824140474,0.05840125418177979,27.512816433709382,2.0427007633210517,0.3333333333333333
asun,qm9,C1,qm9_127560,0.03,15.0,0.0,15.0,0.0,0.9267597910518006,0.7632674172616459,56.28491723713572,37.19387089789807,0.8666666666666667
asun,qm9,C1,qm9_127560,0.1,15.0,0.0,15.0,0.0,1.1837174783934885,1.3038699073382503,60.79823430086305,42.71005429549044,1.0
asun,qm9,C1,qm9_55091,0.0,15.0,0.0,15.0,0.0,7.381369012418628e-16,6.891877958262031e-16,0.0,0.0,0.0
asun,qm9,C1,qm9_55091,0.0001,15.0,0.0,15.0,0.0,0.0003780644233496581,0.00030945658916300386,0.011188027033422122,0.01005890502117909,0.0
